year,longitude,latitude,where_coordinates,best,deaths_civilians
2011,69.960555,33.366944,FOB Salerno,1,0
2011,66.169753,30.987916,Spin Boldak district,2,1
2011,68.5471,33.4242,Alo Khel village,2,2
2011,62.628076,34.888119,Kushki Kuhna district,2,1
2011,68.6343,32.9647,Shamalzay village,12,0
2011,69.532119,33.315326,Shamal district,2,0
2011,64.368097,33.492041,Taywara district,1,0
2011,69.644474,33.412566,Zani Khel locality,7,0
2011,68.659797,33.929385,Saydabad district,2,0
2011,68.75,32.416667,Paktika province,1,0
2011,69.395546,36.432114,Fakhrak village,1,0
2011,70.585306,34.708126,Dara-i-Nur district,2,0
2011,68.9296,33.7756,Now Shar village,1,0
2011,64.765051,35.821369,Pashtun Kot district,1,0
2011,63.114,35.0649,Kham Habasi Faretan village,1,0
2011,67.012,36.0652,Dogh Ab village,4,0
2011,70.146389,34.88961,Kohe Parmawal ridge,2,0
2011,64.6473,31.8599,Faqiran village,2,0
2011,68.532,33.3768,Khani Sufla village,2,0
2011,68.5362,33.4619,Laghawat village,1,0
2011,69.896737,33.814052,Moqbel gorge,5,0
2011,69.073448,34.011698,Eastern Afghanistan,2,0
2011,71.1839,34.904,Shagi village,6,0
2011,68.06357,32.88363,Ab Band district,9,0
2011,68.385391,33.408092,Akhundkhel village,2,0
2011,68.6551,32.9622,Mihtar Gay village,1,0
2011,68.325011,33.374819,Kabul-Kandahar highway (Andar district),7,0
2011,68.355315,33.835973,Jaghatu district,2,0
2011,68.343958,33.755683,Ab Talah village,1,0
2011,63.469625,35.462075,Murghab district,4,1
2011,69.786578,33.655357,Jani Khel district (Paktya),5,0
2011,69.334724,32.605405,Gangikhel village,3,0
2011,68.65967,35.615268,Dushi district,2,0
2011,64.673286,31.718695,Sar Shakh village,1,0
2011,69.163284,36.972465,Archi district,2,0
2011,71.3235,35.602,Awala Gul village,18,0
2011,68.462134,35.81835,Dahana-I- Ghuri district,1,0
2011,71.253447,35.774604,Bargi Matal district,6,0
2011,70.328079,34.309765,Kala Khail (Baloc Koruna) village,4,0
2011,70.3154,34.2935,Patiray village,3,0
2011,68.9315,33.4563,Sakan village,6,1
2011,67.725533,32.782059,Mati village,8,0
2011,65.181021,30.120517,Reg district (Kandahar),5,0
2011,67.25,32.25,Zabul province,2,0
2011,69.886222,34.499112,Kabul-Jalalabad highway,9,0
2011,70.4531,34.4526,Qasim Abad village,1,0
2011,68.377712,35.273939,Tala Wa Barfak district,1,0
2011,68.621552,33.521011,Ramak town,4,0
2011,66.996744,32.209067,Qalat district,4,1
2011,69.17141,37.103603,Kalbad village,5,0
2011,68.8183,36.6851,Kharuti village,3,0
2011,71.003535,34.799643,Narang district,2,0
2011,67.996501,33.220631,Qarabagh district (Ghazni),2,0
2011,69.660444,34.79114,Tagab valley,1,0
2011,70.371911,34.290817,Chaparhar district,1,0
2011,70.8903,35.2305,Chatras village,2,0
2011,65.83333,36.83333,Jawzjan province,11,0
2011,65.4473,35.9575,Sar Dara village,4,0
2011,69.688511,34.83779,Badrab valley,4,0
2011,67.014496,32.183189,Spin Ghbarga village,2,0
2011,65.4792,36.3222,Nawabad village,7,0
2011,64.005392,35.660195,Senjetak area,14,0
2011,64.0295,35.6676,Ghuchghar village,32,0
2011,69.831596,34.24699,Lajgan village,1,1
2011,68.409088,33.651093,Nuhburja village,1,0
2011,68.886195,33.929854,Padkhwabe Roghani village,2,1
2011,64.328,31.7387,Lowy Manda Gharbi Hazrat M. Kalay village,3,0
2011,69.178248,37.074799,Mulla Qouli area,1,0
2011,71.0808,34.9337,Shingam village,2,2
2011,63.266,31.984,Dilaram district,2,0
2011,68.4174,33.2897,Khair Wal village,1,0
2011,68.6093,33.4346,Sayid Nazim Salman Zai village,1,0
2011,70.2767,34.2677,Adowr village,2,1
2011,69.192429,32.97518,Urgun district,15,0
2011,68.668884,33.904587,Salar village,2,0
2011,68.888253,33.295409,Mata Khan district,2,0
2011,65.8968,32.7161,Kakarak village,2,0
2011,61.8837,30.3262,Parozha Dahi Band Kamal Khan village,3,0
2011,69.208555,37.01363,Nahr-e Kohna canal,2,0
2011,68.455788,33.370197,Chahardewali village,4,0
2011,64.3614,32.485,Bar Nawzad village,3,0
2011,68.146584,33.696449,Rashidan district,1,0
2011,68.2885,35.5326,Tarmash village,6,0
2011,70.802135,35.407536,Parun district,2,0
2011,64.875154,31.480806,Southern Afghanistan,1,0
2011,63.3546,34.6042,Gala Chashma village,3,0
2011,67.2006,32.30759,Nawrak village,2,2
2011,63.205143,34.372608,Bande Benafsh (Obe) town,1,1
2011,68.318489,33.387493,Chaghari village,1,0
2011,70.1096,34.8906,Qala Najil village,5,4
2011,68.81,35.789167,Kelagay ruin,3,0
2011,70.720787,34.738899,Kanda village,7,0
2011,66.446851,36.782936,Shisha area,3,0
2011,68.536293,33.319695,Surkay village,3,0
2011,68.540298,33.335892,Sardar Kala village,2,0
2011,69.318277,34.525216,Nawruzabad village,1,0
2011,67.116647,36.700067,Mazari Sharif town,4,2
2011,65.431099,31.497393,Seperwan village,11,0
2011,70.373466,35.213875,Du Ab district,138,0
2011,66.0306,32.0756,Baghtu village,4,0
2011,68.566036,36.654765,Chahar Dara district,1,0
2011,68.6205,33.8632,Awtari village,1,1
2011,69.092712,36.64136,Char Tut village,3,0
2011,69.047267,32.751723,Sarobi district,1,0
2011,66.066879,36.286474,Sari Pul district,1,0
2011,69.776604,33.318041,Mando Zayi district,1,0
2011,68.685173,36.818665,Gor Tepa village,6,0
2011,69.533559,36.734133,Taluqan town,14,0
2011,64.636997,32.199339,Sara Kala area,15,9
2011,69.041565,33.4232,Zurmat district,4,0
2011,68.715122,35.944583,Puli Khumri town,1,0
2011,69.736866,34.912834,Alasay valley,1,0
2011,68.2087,33.2357,Moshaki village,2,0
2011,68.308,33.0998,Pana village,1,0
2011,68.806572,35.004501,Ranga village,2,0
2011,70.095083,34.651798,Mihtarlam district,3,0
2011,71.148075,34.85169,Lahor area,1,0
2011,70.1825,34.2382,Khogyani (Kaga) village,1,0
2011,68.8197,35.0449,Qamchaq village,1,0
2011,62.340816,33.364304,Aziz Abad village,3,2
2011,69.6208,33.841,Lija Ahmad Khel village,1,0
2011,62.88076,31.62442,Lokhi village,2,0
2011,68.8802,33.9653,Mohmand village,5,0
2011,66.552678,31.519681,Arghistan district,1,0
2011,68.421723,33.675469,Khwaja Umari district,2,0
2011,71.0903,34.9485,Mashogul village,1,0
2011,62.044272,34.038332,Guzara district,2,0
2011,68.6788,34.4659,Mulla Khel village,1,0
2011,66.920093,35.999646,Kishindih district,1,0
2011,63.545805,35.569066,Panirak area,5,0
2011,65.04411,33.016315,Baghran district,3,0
2011,66.889427,36.812611,Balkh district,4,0
2011,66.639315,36.837628,Chahar Bolak district,4,0
2011,66.9185,32.1104,Sinak suburb,3,0
2011,67.793015,32.828667,Jumjoma village,6,0
2011,69.137,33.4789,Janikhel village,3,1
2011,68.928393,33.965165,Baraki Barak district road,2,0
2011,69.624499,34.109043,Azra district,1,0
2011,69.1754,37.0255,Wakil Dowran Jama-i-rahim Khan Sheenwari village,2,0
2011,69.054,34.1023,Kunjak village,2,0
2011,66.690348,32.997793,Khas Uruzgan district,3,1
2011,68.8312,34.302,Shah Kabul Kalan village,1,0
2011,68.807195,32.89111,Omna district,2,0
2011,69.33333,33.666667,Paktya province,2,0
2011,70.395676,34.306732,Dawlatzai village,1,0
2011,69.344504,35.016406,Mahmudi Raqi town,8,5
2011,69.4004,33.7259,Sayid Karam village,4,0
2011,66.63239,32.7052,Kawti village,3,0
2011,67.253177,31.447533,Maruf district,4,4
2011,68.047295,33.139793,Khalokhel Ulya village,2,0
2011,64.6656,31.8591,Adin Zai village,1,0
2011,66.688212,32.612577,Daychopan district,2,0
2011,64.83333,36.25,Faryab province,4,0
2011,69.048592,33.531792,Sahak village,1,0
2011,63.379117,32.170359,Hirat-Kandahar highway (Dilaram district),5,0
2011,65.3381,31.5372,Malangan village,1,0
2011,66.861089,36.304873,Sholgara district,2,0
2011,68.440374,33.534106,Ghazni district,2,0
2011,68.86706,36.70745,Seh Darak suburb,3,2
2011,69.58333,35,Kapisa province,1,0
2011,64.118492,31.521994,Marja town,1,0
2011,69.1741,35.0159,Chaharikar town,15,0
2011,70.418087,34.822451,Alingar district,2,1
2011,66.487862,31.178164,Lowy Kariz village,1,0
2011,70.3996,34.8636,Wat Jabar Khail village,2,0
2011,68.892803,33.694954,Kharwar district,1,0
2011,66.1542,37.0106,Shaikh Arzi village,6,0
2011,70.3757,34.2904,Ghorabad village,1,0
2011,69.111852,36.606315,Khanabad district,10,5
2011,66.652,32.621,Kebay village,2,0
2011,69.241591,33.601338,Gardez district,2,0
2011,62.2039,34.3222,Karta Wast village,1,0
2011,71.1175,34.9751,Sangar village,25,0
2011,67.857109,33.184189,Zardalu locality,4,2
2011,66.331531,37.048803,Mardyan district,8,4
2011,65.3808,33.0412,Sar Kay village,4,0
2011,63.0013,31.7211,Landi village,8,0
2011,62.9352,31.663,Poushta Hassan village,3,0
2011,69.683,34.8868,Shah Kot village,2,2
2011,68.725729,33.200841,Sharan district,2,0
2011,65.465,31.5785,Makwan village,1,0
2011,68.959198,33.889591,Yosufkhel village,4,0
2011,61.158105,34.179688,Ghoryan district,1,0
2011,69.958707,33.214845,Gurbuz district,2,1
2011,64.1913,31.2794,Shen Ghazak area,6,6
2011,68.336693,33.393494,Nawabad village,7,0
2011,63.083706,31.881096,Kotalak village,20,20
2011,65.058995,36.53662,Dawlatabad district (Faryab),3,0
2011,65.500902,32.005213,Khakrez district,4,1
2011,70.0598,34.4955,Ka Kas village,2,0
2011,68.9414,33.7959,Charkh town,5,0
2011,65.33361,31.540737,Sangsar locality,1,0
2011,62.86158,32.24278,Chah Gaz village,1,0
2011,69.5706,33.2908,Ganda Khola village,1,0
2011,69.1718,37.0014,Haji Sarfaraz village,5,0
2011,65.936469,35.438343,Kohistanat district,2,0
2011,70.006691,34.13789,Merkekhel village,10,0
2011,69.281076,34.33996,Zakhel village,2,0
2011,65.41981,31.55416,Kakaran village (2),10,0
2011,65.507088,31.595592,Ashoqa village,7,0
2011,62.2808,35.2391,Turghundi village,2,0
2011,62.480503,32.630096,Shewan village,8,0
2011,69.980133,34.194185,Sherzad district,8,0
2011,66.99823,32.15387,Omarkhel village,5,0
2011,69.1498,33.5823,Choni village,6,1
2011,66.166667,35.833333,Sari Pul province,1,0
2011,62.9126,32.9637,Tutak village,2,0
2011,69.5046,33.2959,Kamal Khail village,11,7
2011,68.29828,33.552672,Chakharkala village,1,0
2011,65.756215,32.544319,Spera Ghunday hill,7,1
2011,66.330856,36.699898,Fayzabad district (Jawzjan),8,0
2011,69.151879,34.842947,Qarabagh town,2,0
2011,69.180221,34.210415,Muhammad Agha district,2,0
2011,69.6335,35.3657,Omarz Do Ab village,1,0
2011,63.003101,35.245499,Sang Atesh village,1,0
2011,68.975327,33.947273,Padkhwabe Roghani village,2,1
2011,65.476312,31.985812,Khakrez village,1,0
2011,65.195661,32.043898,Ghorak district,1,0
2011,69.0529,32.8879,Sor Kamar village,6,0
2011,65.5307,36.1193,Aqsai village,3,0
2011,68.396896,33.244698,Kansaf village,1,0
2011,68.4053,33.4075,Gabari Sufla village,1,0
2011,69.6536,34.8812,Sinzai (1) village,8,0
2011,69.7471,34.2272,Khawri village,9,0
2011,68.6027,33.9293,Sar Qoul village,1,0
2011,64.5668,32.3223,Jaha Zai village,4,4
2011,69.6429,34.8677,Joybar village,7,1
2011,68.7845,34.1672,Dasht Top village,1,0
2011,66.765914,33.124269,Sultan Mohammad Naveh locality,5,0
2011,69.808775,33.80595,Chamkanay district,4,0
2011,69.8667,33.3076,Toora Wari village,6,6
2011,69.5841,34.1591,Osman Khel village,12,0
2011,66.790723,33.077441,Abparan village,4,4
2011,69.383889,33.771667,Machalgu village,1,0
2011,65.744368,30.58915,Between Registan and Spin Boldak districts,4,0
2011,64.469957,31.611409,Sarkar village,4,0
2011,65.434295,31.557203,Pashmul village,3,0
2011,70.0692,34.17894,Wadisar village,4,1
2011,70.084213,34.825481,Alishing district,2,0
2011,69.386084,36.367511,Ishkamish district (Takhar),1,0
2011,69.034297,33.060666,Sar Hawza district,31,0
2011,64.8091,31.9941,Khumari village,3,0
2011,69.8542,33.8192,Chinarge village,1,0
2011,69.2632,36.3048,Tarsak Chashma Maheyan village,1,0
2011,68.512989,34.060875,Arabano Nawa streams,1,0
2011,71.0952,34.9152,Bara Qamche village,3,0
2011,69.0728,32.971935,Shatur village,1,0
2011,64.7775,32.3048,Mussa Zaye Ya Jowi Bawari village,16,0
2011,64.467269,32.422109,Alizai village,2,2
2011,66.412491,32.323395,Shahjoy village,3,0
2011,70.2865,34.5302,Char Bagh town,5,0
2011,68.361061,36.896746,Qalay-I-Zal district,1,0
2011,69.02114,33.97692,Honi Sayidan village,2,0
2011,68.582346,34.525025,Jalrez district,1,1
2011,69.0038,36.641,Tawosabad village,1,0
2011,64.5361,35.7483,Qourada Qala village,2,0
2011,68.886195,33.929854,Baraki Barak district,3,1
2011,64.711296,31.752098,Balochan village,18,18
2011,64.5896,31.8273,Band Barq village,4,0
2011,69.363632,35.743523,Dih Salah district,1,1
2011,69.8768,33.5629,Zambar town,2,0
2011,69.0855,33.5282,Panjpay village,5,0
2011,67.818891,32.850827,Kabul-Kandahar highway (Muqur district),13,0
2011,69.661,34.8452,Qurghal village,1,0
2011,62,34.5,Hirat province,2,0
2011,61.252023,33.012288,Anar Dara district,1,0
2011,62.164119,33.192284,Zer Koh sub-district,2,0
2011,65.61576,31.63114,Dehe Kuchay village,1,1
2011,69.6934,33.9076,Kermana village,1,1
2011,62.7778,31.5115,Mazad Khash village,3,0
2011,65.5422,36.0057,Shah Toot village,10,0
2011,62.7884,31.5296,Khash village,9,0
2011,64.2878,31.6907,Shpazh Jariban village,1,0
2011,68.7846,34.0221,Jowi Zarin village,46,0
2011,66.335951,32.378207,Miya Nishin district,2,0
2011,68.3356,33.5531,Ghundi village,2,0
2011,62.288128,34.283401,Sawa village,1,0
2011,65.465693,32.584696,Dihrawud district,4,4
2011,64.5652,31.79,Ab Bazan village,5,0
2011,69.647499,34.854229,Tagab town,1,0
2011,68.304142,34.216719,Day Mirdad district,8,0
2011,69.469833,33.662636,Kosin area,1,0
2011,67,36.75,Balkh province,3,0
2011,70.713562,34.126049,Sra Kala town,1,0
2011,65.463888,31.544444,Panjwayi town,2,0
2011,68.662507,36.00829,Puli Khumri district,1,0
2011,62.43626,34.242027,Dashan village,2,0
2011,69.232445,33.589794,Gardez town,3,0
2011,63.063339,34.293446,Serwan village,12,12
2011,62.238106,33.278599,Dulurge Samali village,4,0
2011,63.961771,34.447084,Chishti Sharif district,2,0
2011,62.2365,33.3652,Qanadi village,2,0
2011,67.666667,36,Samangan province,1,0
2011,69.416667,34.5,Kabul province,3,0
2011,68.75,36.75,Kunduz province,1,0
2011,66.585244,36.76513,Temorak area,1,0
2011,63.337425,35.6322,Joy Ganj area,3,0
2011,69.108724,33.497266,Zaw stream,1,1
2011,69.139694,33.505592,Mamuzi village,1,1
2011,68.91667,35,Parwan province,1,0
2011,72,36.75,Badakhshan province,3,0
2011,64.263957,31.473434,Trikh Nawar locality (Nawa-i-Barakzai district),2,2
2011,64.240189,32.45829,Nal village,7,0
2011,64.255791,32.474998,Shirin Baz village,7,0
2011,69.141594,33.356499,Surki village,3,0
2011,69.091481,34.194766,Ahmad Zai Qala village,2,0
2011,71.0368,34.9699,Kor Bagh village,4,0
2011,67.925697,32.981091,Landakhel village,2,0
2011,66.7396,32.84419,Lande Sar Tangi village,2,0
2011,64.295198,35.956633,Almar district,3,3
2011,66.736,31.9983,Azatak village,3,0
2011,64.006,30.599,De Lowy Wayalah Kalay village,4,4
2011,65.7135,36.2593,Ajram Bala village,3,0
2011,69.249,36.7123,Saqab village,2,1
2011,69.308127,34.664748,Dih Sabz district,1,0
2011,70.8644,35.3109,Parun Markaz town,5,0
2011,68.857048,36.795835,Kunduz district,1,0
2011,70.1208,34.3009,Mamla village,2,0
2011,67.720736,35.287805,Between Kahmard and Sayghan districts,4,1
2011,69.508678,37.459181,Darqad district,1,0
2011,67.1784,31.6482,Khugyanay (Maruf) village,1,1
2011,69.079597,35.878109,Qozi village,1,0
2011,68.69809,33.956188,Haydarkhel village,2,0
2011,62.241834,33.828843,Hirat-Kandahar highway (Hirat province),2,0
2011,70.033,34.3,Gandomak village,4,0
2011,61.643401,34.436797,Hirat-Islam Qala road,1,0
2011,68.772583,34.44849,Molakhel village,1,0
2011,71.1968,35.7526,Pachi Giram village,2,0
2011,68.750946,36.319778,Zakirkhel village,2,0
2011,69.742203,33.372723,Shembawot village,5,0
2011,70.7812,34.3168,Chahar Dehe village,1,0
2011,65.2608,31.4656,Mushan village,3,0
2011,62.001952,33.703791,Adraskan district,1,1
2011,69.2455,33.1745,Torikhel village,2,0
2011,66.820885,36.692104,Bangala village,4,0
2011,64.978235,36.055429,Khwaja Sabz Posh district,3,0
2011,69.0341,36.6635,Laghmani village,1,0
2011,68.638578999999993,33.021163,Sharan-Zarghun Shahr road (Yosuf Khel district),5,0
2011,68.716,33.999,Saydabad town,5,4
2011,68.4253,33.5607,Bahlol Sahib suburb of Ghazni town,1,0
2011,69.2936,32.7794,Karizgay village,6,6
2011,61.570028,35.133102,Gulran district,3,0
2011,68.6712,36.835,Wakil Qarah village,5,5
2011,70.2455,36.7518,Khambok Hulya village,23,0
2011,70.078882,33.640774,Jaji Maydan district,1,0
2011,65.299,31.50179,Haji Mohammadkhan village,2,2
2011,64.756,32.3454,Ghartala Kalay village,2,1
2011,66.414597,31.904196,Ziyarat village,1,0
2011,70.105438,34.758858,Saygal valley,1,0
2011,64.28286,35.919189,Khwaja Gawhar village,2,0
2011,69.9619,34.2627,Khadikhel village,3,1
2011,71.3181,35.5696,Poul Rustam village,12,0
2011,68.985,36.6619,Malarghi village,1,0
2011,69.75,36.66667,Takhar province,1,0
2011,69.074734,35.055649,Kafshan Valley,20,0
2011,66.211697,36.902593,Aqcha district,5,3
2011,69.406475,33.372715,Wuza Zadran district,6,0
2011,71.028372,35.227695,Waygal district,26,4
2011,70.996498,35.194190999999996,Waygal village,18,0
2011,69.067802,33.962692,Padkhvab-e Shanah village,2,1
2011,68.207658,33.414025,Waghaz district,10,0
2011,69.1658,33.6353,Rabat village,3,0
2011,65.0462,31.6465,Aziz Abad village,3,2
2011,65.617385,33.212235,Kajran district,1,0
2011,68.9507,36.7878,Kunam Kalan village,2,0
2011,68.6491,32.9361,Yahya Khel village,3,0
2011,69.99947,35.035862,Dawlat Shah district,3,0
2011,69.376801,33.453563,Shwak district,1,0
2011,69.0073,32.7308,Manga Roti village,1,0
2011,62.3252,33.3963,Jamabaran village,16,16
2011,70.7031,34.1191,Landi village,8,0
2011,69.1171,34.4234,Rishkhor village,4,0
2011,64.408055,31.609444,Patrol Base Durai,2,0
2011,69.235,33.5833,Shakarkhel village,3,1
2011,69.399841,35.01368,Mahmudi Raqi district,1,0
2011,62.1344,32.5562,Nahr Dasht village,1,0
2011,69.669648,37.444474,Yangi Qala district,1,0
2011,65.089241,33.590465,Pasaband district,2,0
2011,69.228162,37.036842,Wakil area,3,0
2011,69.665383,33.589444,Musa Khel district,2,0
2011,71.181412,34.890469,Marawara town,1,0
2011,66.733185,31.692457,Spina Gara village,1,1
2011,65.98956,32.20718,Mano village,3,2
2011,69.569992,33.113991,Spalkin village,8,0
2011,65.3244,32.5773,Kalay village,2,0
2011,68.479991,32.6683,Jani Khel district (Paktika),4,1
2011,69.636688,34.891785,Qal`eh-ye Saleh village,2,1
2011,67.446693,32.467098,China village,3,0
2011,68.731438,36.840874,Tobra Kash village,4,0
2011,69.136192,34.118095,Zarghun Shahr village,3,1
2011,70.6834,34.1201,Kamar Sar village,1,0
2011,71.478394,35.185482,Kamteli village,2,2
2011,68.945449,32.389617,Gomal district,2,0
2011,70.703067,34.960329,Chapa Dara district,1,0
2011,68.8484,34.3387,Kashmereyan village,3,3
2011,71.148,34.7405,Nawa village,1,0
2011,68.399,33.8212,Jaghatu town,6,0
2011,71.3522,35.1041,Shal village,7,0
2011,67.390181,31.725736,Atghar district,2,0
2011,69.442314,35.251043,Dashtak village,6,2
2011,68.6111,34.1001,Mado village,3,3
2011,65.0077,32.3078,Shair Ahmad village,2,0
2011,71.457092,35.167896,Sao village,3,0
2011,64.78476,35.91732,Maymana town,2,1
2011,68.6328,33.6676,Farid Kala village,1,0
2011,64.956081,32.39506,Zamindawar area,3,0
2011,68.71447,34.00293,Lwara village,5,0
2011,70.0314,34.2663,Malalay Ghondi village,1,0
2011,62.8651,34.2406,Borya Baf Hulya village,5,0
2011,63.4796,30.5394,Taghaz village,4,4
2011,68.6324,32.9433,Shamali Nakam village,1,0
2011,68.670982,33.920891,Melikhel village,1,0
2011,70.3501,34.2605,Koza Godara village,1,0
2011,62.9482,34.085,Taqcha village,4,0
2011,62.187607,32.585598,Diware Surkh village,1,0
2011,68.2952,33.105,Lodeyan village,1,0
2011,69.218934,34.9288,Bagram T-junction Old road-New road,10,10
2011,70.0686,33.3807,Ayubkhel village,4,0
2011,71.146812,34.87455,Asadabad town,2,1
2011,71.314533,35.483273,Kamdesh district,14,0
2011,70.053864,34.500613,Kabul-Jalalabad highway (Qarghayi district),1,0
2011,70.006707,33.339466,Khost district,2,0
2011,70.256599,34.718494,Besram village,2,2
2011,65.089721,33.076343,Baghran town,7,0
2011,70.84819,34.957298,Rich Alam village,2,0
2011,68.2143,33.6972,Markazi Rashidan village,3,0
2011,68.788611,33.1725,Sharan town,1,0
2011,69.978493,33.482395,Nakam Kalay village,2,0
2011,62.22584,34.212607,Hirat International Airport,7,0
2011,69.237241,33.200749,Nika district,3,0
2011,70.8426,34.9501,Tangi village,2,2
2011,71.582306,35.396252,Gawhardesh village,2,0
2011,63.3229,35.6037,Lodeyana village,1,0
2011,68.800545,36.223206,Hasan Tal village,6,4
2011,70.422387,37.0647,Argo district,1,0
2011,64.193403,31.132315,Darweshan village,3,0
2011,68.65696,35.983288,Wazirabad village,3,0
2011,69.329597,32.780994,Margha village,60,0
2011,69.01564,33.118019,Sar Hawza village,2,0
2011,62.583302,32.658997,Siah Jangal village,1,0
2011,70.0912,34.9698,Atak Chakla village,5,5
2011,66.5692,36.5506,Bolak Kala Gaza Hulya village,1,0
2011,68.8548,33.967,Tory Khail Chalozai village,3,0
2011,69.216998,32.493212,Shakin sub-district,1,0
2011,68.575592,33.418495,Ali Kala village,1,0
2011,70.8134,34.0272,Lalmi village,34,0
2011,70.91909,34.969894,Sondray village,1,0
2011,64.7386,31.8768,Mirmandaw village,8,0
2011,70.418793,34.319794,Tarely village,2,0
2011,64.634895,31.65019,Kushkaba village,5,0
2011,70.833333,35.3,Nuristan province,2,0
2011,64.963124,36.793064,Qaramqol district,1,0
2011,64.45459,31.728891,Jamal Kor village,1,0
2011,64.570518,31.82004,Greshk town,1,0
2011,65.4,31.516667,Siahchob village,8,7
2011,62.923611,32.553611,Chakab village,12,0
2011,69.155331,32.934424,FOB Urgun-E (Camp Harriman),10,0
2011,68.986496,33.924595,Tandan village,3,0
2011,70.761085,34.290316,Bati Kot district,4,0
2011,68.678958,33.941103,Shniz locality,3,0
2011,63.297638,35.625362,Akazai village,2,0
2011,68.259188,33.718166,Aslamkhel village,1,0
2011,70.3094,34.4112,Dand village,2,0
2011,68.344562,33.063712,Giro district,1,0
2011,68.7171,36.3404,Now Rozak village,2,0
2011,69.7003,34.8297,Haybat Khel village,6,6
2011,63.250427,34.36058,Obe district,2,0
2011,70.9733,34.9454,Barkanday village,3,0
2011,70.98629,34.93549,Matin village,3,0
2011,66.4463,33.0917,Shorab village,5,5
2011,64.8009,31.9832,Torma village,3,0
2011,64.7836,32.0036,Qaleh-ye Gaz village,3,0
2011,64.828113,31.983254,Amanullah Karez village,19,19
2011,70.999444,34.887222,Shuraik valley,2,0
2011,65.756811,31.779873,Soznai streams,2,2
2011,69.1894,33.5791,Kataba village,1,0
2011,65.8515,36.3702,Sayyedabad village,1,0
2011,70.14772,34.72057,Shakarman village,2,0
2011,71.1019,36.8837,Yakhshaira village,2,0
2011,70.78936,34.305588,Ambarkhana (Takeya) village,2,0
2011,62.626928,33.091795,Shoz locality,3,3
2011,69.051591,33.973743,Puli Alam district,1,0
2011,67.588264,31.60721,Kandil village,1,0
2011,64.47874,31.776374,Spin Masjid mosque,1,1
2011,64.416992,31.596291,Lashkar Bazar village,1,0
2011,68.4519,33.5813,Rowza village,5,0
2011,65.8269,37.4871,Chobil Tapa village,2,0
2011,64.4432,33.5107,Khowja Ghar Ghorayan village,1,0
2011,64.27729,31.66419,Zarghun Kalay village,10,0
2011,63.153801,35.481792,Mangan village,2,2
2011,64.6821,31.8666,Lowar Kalay village,2,0
2011,71.3785,35.1306,Bargam village,1,0
2011,69.6532,34.841,Karam Khail village,4,0
2011,62.1157,32.373795,Farah town,1,0
2011,69.707238,34.556073,Surobi district,2,0
2012,68.355315,33.835973,Jaghatu district,2,0
2012,65,33,Afghanistan,9,0
2012,69.67923,34.797169,Tagab district (Kapisa),4,0
2012,69.02274,33.995289,Puli Alam town,3,1
2012,64,31,Hilmand province,2,0
2012,65.705795,31.611795,Kandahar town,3,1
2012,62.480503,32.630096,Shewan village,4,0
2012,65.038714,32.48418,Kajaki district,1,0
2012,67.116647,36.700067,Mazari Sharif town,1,0
2012,65.75,31,Kandahar province,2,0
2012,64.651093,36.046696,Tokaly Namusa village,1,0
2012,64.7386,31.8768,Mirmandaw village,2,0
2012,64.500487,31.750267,Abpashak Manda checkpoint,2,0
2012,66.905121,32.10368,Qalat town,2,0
2012,69.918411,33.335091,Khost town,7,4
2012,62.88273,32.21683,Bakwa district,5,0
2012,67,36.75,Balkh province,2,0
2012,67.230034,36.376212,Chahar Kint district,5,0
2012,68.788611,33.1725,Sharan town,7,0
2012,71.146812,34.87455,Asadabad town,2,0
2012,63.972829,32.109373,Washer district,6,0
2012,71.0982,34.7572,Donai village,4,0
2012,64.63439,31.825565,Saydan village,1,1
2012,65.98956,32.20718,Mano village,2,2
2012,64.4384,35.9748,Deh Usman village,8,0
2012,71.228891,34.861777,Marawara district,6,0
2012,63.861445,31.625941,Nad Ali district (Marja),1,0
2012,67.7208,32.7595,Wara village,1,0
2012,64.2734,31.7337,Gharbi Naray Manda Nawi Kalay village,3,3
2012,69.960555,33.366944,FOB Salerno,8,0
2012,69.33333,33.666667,Paktya province,2,0
2012,68.75,32.416667,Paktika province,3,0
2012,63.266,31.984,Dilaram district,2,0
2012,64.47606,32.468709,Naw Zad district,2,0
2012,69.073448,34.011698,Eastern Afghanistan,3,0
2012,67.633333,32.716667,Gelan district,2,0
2012,70.880043,34.740322,Dewagul valley,5,0
2012,70.830429,34.189706,Shinwar district (Ghani Khel),1,0
2012,69.776604,33.318041,Mando Zayi district,2,0
2012,64.261192,31.630297,Loy Bagh village,4,0
2012,65.1005,32.3268,Bazar Kajaki village,16,10
2012,65.850348,31.507365,Kandahar airport,12,8
2012,64.5668,32.3223,Jaha Zai village,14,0
2012,70.661263,34.056919,Achin district,2,0
2012,69.041565,33.4232,Zurmat district,2,1
2012,69.416667,34.5,Kabul province,3,0
2012,69.58333,35,Kapisa province,2,0
2012,68,34.25,Wardak province,2,0
2012,69.883334,33.383334,Khost province,2,0
2012,64.377396,31.579996,Lashkar Gah town,2,0
2012,61.3493,35.4252,Karaiz Halyas village,5,0
2012,69.256789,32.644878,Nawi Ada village,2,0
2012,69.716759,34.894581,Alasay village,2,1
2012,64.443383,31.835824,Hilmand-Kandahar highway  (Hilmand province),3,0
2012,64.737566,32.465816,Musa Qala district,8,1
2012,69.601822,35.066143,Ahangaran village,3,3
